id,porepress1,soiltention1,h1x,h1y,h1z,inclination1x,inclination1y
4,5.83,86.45,0.045,0.234,0.045,0.53,0.03
5,5.83,86.45,0.045,0.234,0.045,0.53,0.03
6,5.83,86.45,0.045,0.234,0.045,0.53,0.03
7,5.83,86.45,0.045,0.234,0.045,0.53,0.03
8,5.83,86.45,0.045,0.234,0.045,0.53,0.03
9,5.83,86.45,0.042,0.224,0.025,0.53,0.03
10,5.83,86.45,0.042,0.204,0.025,0.53,0.03
11,5.83,86.45,0.042,0.204,0.025,0.53,0.03
12,5.83,86.45,0.042,0.204,0.025,0.53,0.03
13,5.83,86.45,0.042,0.204,0.025,0.53,0.03
14,5.83,86.45,0.042,0.204,0.025,0.53,0.03
15,5.82,86.45,0.042,0.005,0.025,0.53,0.03
16,5.82,86.45,0.042,0.005,0.025,0.53,0.03
17,5.82,86.45,0.042,0.005,0.025,0.53,0.03
18,5.82,86.45,0.042,0.005,0.025,0.53,0.03
19,5.82,86.45,0.042,0.005,0.025,0.53,0.03
20,5.82,86.45,0.042,0.005,0.025,0.53,0.03
21,5.82,86.45,0.042,0.005,0.025,0.53,0.03
22,5.82,86.45,0.042,0.005,0.025,0.53,0.03
23,5.82,86.45,0.042,0.005,0.025,0.53,0.03
24,5.82,86.45,0.042,0.005,0.025,0.53,0.03
25,5.82,86.45,0.042,0.005,0.025,0.53,0.03
26,5.82,86.45,0.042,0.005,0.025,0.53,0.03
27,5.82,86.45,0.042,0.005,0.025,0.53,0.03
28,5.82,86.45,0.042,0.005,0.025,0.53,0.03
29,5.82,86.45,0.022,0.005,0.025,0.53,0.03
30,5.82,86.45,0.022,0.005,0.025,0.53,0.03
31,5.82,86.45,0.022,0.005,0.025,0.53,0.03
32,5.82,86.45,0.022,0.005,0.025,0.53,0.03
33,5.82,86.45,0.022,0.005,0.025,0.53,0.03
34,5.82,86.45,0.022,0.005,0.025,0.53,0.03
35,5.82,86.45,0.022,0.005,0.025,0.53,0.03
36,5.82,86.45,0.022,0.005,0.025,0.53,0.03
37,5.82,86.45,0.022,0.005,0.025,0.53,0.03
38,5.82,86.45,0.022,0.005,0.025,0.53,0.03
39,5.82,86.45,0.022,0.005,0.025,0.53,0.03
40,5.82,86.45,0.022,0.005,0.025,0.53,0.03
41,5.82,86.45,0.022,0.005,0.025,0.53,0.03
42,5.82,86.45,0.022,0.005,0.025,0.53,0.03
43,4.82,88.9,0.022,0.005,0.025,0.5,0.03
44,4.82,88.9,0.022,0.005,0.025,0.5,0.03
45,4.82,88.9,0.022,0.005,0.025,0.5,0.03
46,4.82,88.9,0.022,0.005,0.025,0.5,0.03
47,4.82,88.9,0.022,0.005,0.025,0.5,0.03
48,4.82,88.9,0.022,0.005,0.025,0.5,0.03
49,4.62,88.9,0.022,0.005,0.025,0.52,0.03
50,4.62,88.9,0.022,0.005,0.025,0.52,0.03
51,4.62,88.9,0.022,0.005,0.025,0.52,0.03
52,4.62,88.9,0.022,0.005,0.025,0.52,0.03
53,4.62,88.9,0.022,0.005,0.025,0.52,0.03
54,4.62,88.9,0.022,0.005,0.025,0.52,0.03
55,4.62,88.9,0.022,0.005,0.025,0.52,0.03
56,4.62,88.9,0.022,0.005,0.025,0.52,0.03
57,4.62,86.78,0.022,0.005,0.025,0.52,0.03
58,4.62,86.78,0.022,0.005,0.025,0.52,0.03
59,4.62,86.78,0.022,0.005,0.025,0.52,0.03
60,4.62,86.78,0.022,0.005,0.025,0.52,0.03
61,4.62,86.78,0.022,0.005,0.025,0.52,0.03
62,4.68,86.78,0.022,0.005,0.025,0.534,0.03
63,4.68,86.78,0.022,0.005,0.025,0.534,0.03
64,4.68,86.78,0.022,0.005,0.025,0.534,0.03
65,4.68,86.78,0.022,0.005,0.025,0.534,0.03
66,4.68,86.78,0.022,0.005,0.025,0.534,0.03
67,4.68,88.73,0.022,0.005,0.025,0.534,0.03
68,4.68,88.73,0.022,0.005,0.025,0.534,0.03
69,4.68,88.73,0.022,0.005,0.025,0.534,0.03
70,4.68,88.73,0.022,0.005,0.025,0.534,0.03
71,4.68,88.73,0.022,0.005,0.025,0.534,0.03
72,4.68,88.73,0.022,0.005,0.025,0.534,0.03
73,4.68,88.73,0.022,0.005,0.025,0.534,0.03
74,4.68,88.73,0.022,0.005,0.025,0.534,0.03
75,4.68,88.73,0.022,0.005,0.025,0.534,0.03
76,4.68,88.73,0.022,0.005,0.025,0.534,0.03
77,4.68,88.73,0.022,0.005,0.025,0.534,0.03
